product_name,img,product_price,promotion
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_33_.png,17990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 15 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_3__3.png,27990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 15 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_17__1.png,35190000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 13 inch 2024 8CPU 10GPU 24GB - 512GB Sạc 35W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_7_5.png,34290000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M4 2024 24 inch 8CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__2_2.png,33990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_29_.png,15990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 256GB) | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_41_.png,14990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M4 Max 16CPU 40GPU 48GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_3__8.png,102490000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 15 inch 2024 8CPU 10GPU 16GB 256GB Sạc 35W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_23__2.png,30690000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M3 Max 48GB - 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_562_2_.png,89990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M4 Max 16CPU 40GPU 64GB 2TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_2__19.png,117490000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_6__6.png,49990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 Max 14CPU 32GPU 36GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_10__3.png,77990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 15 inch 2024 8GB - 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_34_.png,29990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M4 2024 24 inch 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_4__6.png,44990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M4 Pro 2024 12CPU 16GPU 48GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_3__11.png,44590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 15 inch 2024 8CPU 10GPU 16GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_17__1_2.png,35190000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 inch 2021 | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/r/pro_2021.png,39990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_562_5_.png,62990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M3 24 inch 8CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_31_.png,28990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M4 2024 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_2__18.png,29590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M3 Pro 18GB - 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_560_2_.png,49990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_562.png,81990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 10CPU 10GPU 16GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5__5.png,44990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 13 inch 2024 8CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_8__2.png,30590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 512GB) | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_35_.png,22990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 Pro 14CPU 20GPU 24GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_7_7.png,59990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M3 Pro 2023 36GB - 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_7.png,64990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 10CPU 10GPU 16GB 512GB Nano Sạc 70W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_8_6.png,43790000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M4 Pro 14CPU 20GPU 24GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_7_2.png,64590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 16 M4 Max 14CPU 32GPU 36GB 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_2__14.png,87990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
Mac mini M4 2024 10CPU 10GPU 32GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_3__14.png,29590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 Pro 14CPU 20GPU 24GB 1TB Nano | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_2__17.png,63790000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M4 2024 24 inch 8CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_2__12.png,38990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M4 2024 24 inch 10CPU 10GPU 16GB 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_3__6.png,38990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_560_6_.png,72590000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air 15 inch M2 2023 16GB 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_524_1__1.png,30490000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M4 2024 24 inch 8CPU 8GPU 16GB 256GB Phím số + Trackpad | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__2_2_1.png,37930000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
iMac M3 24 inch 8CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_5_3.png,34990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 Pro 14CPU 20GPU 24GB 512GB Nano | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__2_11.png,58790000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Air M3 13 inch 2024 8GB - 256GB | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_2__5.png,24990000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
MacBook Pro 14 M4 10CPU 10GPU 24GB 512GB Nano Sạc 70W | Chính hãng Apple Việt Nam,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_1__2_10.png,48790000,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng
